,DOC_Loss(gC/day/m2)_Delineated_Average,DON_Loss(gN/day/m2)_Delineated_Average,Runoff_All(mm/day)_Delineated_Average,NH4_Loss(gN/day/m2)_Delineated_Average,Year,NO3_Loss(gN/day/m2)_Delineated_Average,Step,DOC_mg/L,Sfc_Water_Temp_C,CO2
2069,0.0160400904715061,2.099689663737081e-05,0.0968105494976043,2.228173798357602e-06,2003,1.085082089957723e-06,2069,0.045828829918588866,19.212502,0.011457207479647217
2070,0.0152340335771441,1.984607479244005e-05,0.0777420699596405,2.092572913170443e-06,2003,9.985058113670675e-07,2070,0.04352581022041172,19.962502,0.01088145255510293
2071,0.0154701983556151,1.985371090995613e-05,0.1436911225318908,2.102294729411369e-06,2003,1.0566169521553093e-06,2071,0.044200566730328864,18.912498,0.011050141682582216
2072,0.0163516085594892,2.058956306427717e-05,0.0771208330988884,2.1918963284406345e-06,2003,1.1589302175707417e-06,2072,0.04671888159854058,18.912498,0.011679720399635145
2073,0.0150598669424653,1.898793561849743e-05,0.0702570155262947,2.00271574612998e-06,2003,1.083948404811963e-06,2073,0.043028191264186576,19.1375,0.010757047816046644
2074,0.0139264687895774,1.757429890858475e-05,0.0651049837470054,1.839394712987996e-06,2003,1.0940483434751511e-06,2074,0.03978991082736401,18.462502,0.009947477706841002
2075,0.0130869876593351,1.649017576710321e-05,0.0669335350394249,1.7175862012663856e-06,2003,1.0999824553437063e-06,2075,0.037391393312386,18.462502,0.0093478483280965
2076,0.012405009008944,1.559346856083721e-05,0.0573891960084438,1.6196768228837757e-06,2003,1.149215904661105e-06,2076,0.035442882882697146,17.6375,0.008860720720674287
2077,0.0116409724578261,1.461641295463778e-05,0.0536763854324817,1.513067445557681e-06,2003,1.130970645135676e-06,2077,0.03325992130807457,18.3125,0.008314980327018643
2078,0.0109560610726475,1.3727474652114324e-05,0.0501902587711811,1.417974999640137e-06,2003,1.109458708015154e-06,2078,0.031303031636135716,18.3125,0.007825757909033929
2079,0.0103526152670383,1.2956264981767164e-05,0.0472179614007473,1.3386440969043178e-06,2003,1.135563252319116e-06,2079,0.029578900762966574,15.8375,0.007394725190741643
2080,0.0098276827484369,1.2268924365343992e-05,0.0445044189691543,1.2685775345744332e-06,2003,1.1113843356724828e-06,2080,0.028079093566962574,18.0125,0.007019773391740643
2081,0.0093283131718635,1.159194653155282e-05,0.0417090654373168,1.199857251776848e-06,2003,9.948969363904323e-07,2081,0.02665232334818143,19.3625,0.0066630808370453576
2082,0.0088621973991394,1.0952681805065367e-05,0.0390334241092205,1.1348831776558654e-06,2003,9.153829410024628e-07,2082,0.025320563997541148,19.287498,0.006330140999385287
2083,0.0083633353933691,1.0246265446767213e-05,0.0357659868896007,1.0664792853276597e-06,2003,9.030576961777116e-07,2083,0.023895243981054574,18.162498,0.005973810995263644
2084,0.0078182257711887,9.45890678849537e-06,0.0321016460657119,9.92537138699845e-07,2003,8.799271427051281e-07,2084,0.022337787917682,18.087502,0.0055844469794205
2085,0.0073347124271094,8.768069164943881e-06,0.0289359129965305,9.280053063775996e-07,2003,8.64991420712613e-07,2085,0.020956321220312574,17.4875,0.005239080305078143
2086,0.0069226142950356,8.19803881313419e-06,0.0264208931475877,8.762810921325581e-07,2003,8.600388241575274e-07,2086,0.019778897985816002,14.7875,0.0049447244964540005
2087,0.0065776808187365,7.725978321104776e-06,0.02436313778162,8.34669094729179e-07,2003,8.495840688738099e-07,2087,0.018793373767818575,14.9375,0.004698343441954644
2088,0.0062505356036126,7.270353307831101e-06,0.0223526936024427,7.946941877889913e-07,2003,8.266734425887989e-07,2088,0.017858673153178857,16.7375,0.004464668288294714
2089,0.0059229736216366,6.805933026043931e-06,0.0202871188521385,7.530379093623196e-07,2003,7.814508080628002e-07,2089,0.01692278177610457,18.537498,0.004230695444026143
2090,0.0056082056835293,6.360399765981128e-06,0.01852523162961,7.12215523890336e-07,2003,7.384314812952653e-07,2090,0.016023444810083713,18.6875,0.004005861202520928
2091,0.0054012113250792,6.042190761945676e-06,0.0202692709863185,6.853426270936325e-07,2003,7.221030955406604e-07,2091,0.015432032357369145,17.9375,0.003858008089342286
2092,0.0052553419955074,5.803199201181997e-06,0.0156283434480428,6.660379767708946e-07,2003,7.161496569096926e-07,2092,0.015015262844306857,17.5625,0.003753815711076714
2093,0.0050061014480888,5.471450549521251e-06,0.0143050169572234,6.337152740343299e-07,2003,6.923491469024157e-07,2093,0.014303146994539431,17.787498,0.0035757867486348577
2094,0.0047717406414449,5.1604542932182085e-06,0.0130826663225889,6.027448762324639e-07,2003,6.633406428591115e-07,2094,0.013633544689842571,18.462502,0.0034083861724606428
2095,0.0045481650158762,4.865818482358009e-06,0.0119484039023518,5.725958658331365e-07,2003,6.310365847639332e-07,2095,0.012994757188217717,18.912498,0.003248689297054429
2096,0.0043396805413067,4.596007784130052e-06,0.0109428679570555,5.444308612823079e-07,2003,6.0842296534247e-07,2096,0.012399087260876287,18.3875,0.003099771815219072
2097,0.0061270105652511,6.290602414082969e-06,0.1366817951202392,7.72176122154633e-07,2003,8.76283593242988e-07,2097,0.017505744472146,16.9625,0.0043764361180365
2098,0.0107683148235082,1.0777529496408532e-05,0.0287223104387521,1.3497411828211623e-06,2003,1.5542501614618232e-06,2098,0.030766613781452002,17.337502,0.0076916534453630005
2099,0.0108172195032238,1.0763239515654275e-05,0.0365683957934379,1.3520651691578678e-06,2003,1.5240286757034482e-06,2099,0.03090634143778229,18.087502,0.0077265853594455725
2100,0.0108668841421604,1.0757887139334343e-05,0.0251720938831567,1.3532251159631414e-06,2003,1.545924988022307e-06,2100,0.031048240406172573,17.1875,0.007762060101543143
2101,0.0100743593648076,9.954464076145086e-06,0.0232841484248638,1.2552527550724335e-06,2003,1.4742745406692848e-06,2101,0.028783883899450288,14.112499,0.007195970974862572
2102,0.0098026599735021,9.66261995927198e-06,0.0290050543844699,1.226435074386245e-06,2003,1.4644465409219265e-06,2102,0.028007599924291717,13.6625,0.007001899981072929
2103,0.0132624171674251,1.2961765605723484e-05,0.1158850640058517,1.6761740653237212e-06,2003,1.988382337003713e-06,2103,0.03789262047835743,15.237499,0.009473155119589358
2104,0.0241939034312963,2.344335734960623e-05,0.1315080523490905,3.0824060104350792e-06,2003,3.6113301575824153e-06,2104,0.06912543837513228,14.9375,0.01728135959378307
